speed	lag_time	time_points
ENSMUSG00000020409	0.43428	0	1
ENSMUSG00000044707	1.21251	0	2
ENSMUSG00000044950	0.428	0	2
ENSMUSG00000041278	0.424	0	2
ENSMUSG00000019189	1.864	16.5037553648069	2
ENSMUSG00000011254	0.29972	0	1
ENSMUSG00000011256	0.76836	0	1
ENSMUSG00000020340	1.34110072351841	6.1613226258541	4
ENSMUSG00000020346	8e-04	0	1
ENSMUSG00000020363	1.264	15.3299050632911	2
ENSMUSG00000020376	2.02923702031603	10.3090042627415	3
ENSMUSG00000036644	0.382	0	2
ENSMUSG00000020375	0.733842696629214	0.290360117589433	3
ENSMUSG00000044807	0.46892	0	1
ENSMUSG00000049321	0.37456	0	1
ENSMUSG00000020364	0.592	7.52702702702701	2
ENSMUSG00000020385	0.03	0	4
ENSMUSG00000036391	0.333805	0	4
ENSMUSG00000020386	0.70542	0	2
ENSMUSG00000036309	0.00048	0	1
ENSMUSG00000018398	0.564	0	2
ENSMUSG00000020380	1.784	18.9921524663677	2
ENSMUSG00000018900	0.73036	0	1
ENSMUSG00000020388	0.00104	0	1
ENSMUSG00000035992	0.76406	0	2
ENSMUSG00000052298	1.632	10.984068627451	2
ENSMUSG00000020267	0.0036	0	1
ENSMUSG00000018339	0.288	0	1
ENSMUSG00000020400	0.17608	0	3
ENSMUSG00000018340	0.695421052631579	3.12393097706806	3
ENSMUSG00000020261	0.619711645101664	1.75983404123318	3
ENSMUSG00000020523	0.0032	0	1
ENSMUSG00000020520	0.815120356612185	6.48003740593828	3
ENSMUSG00000037331	0.1074	0	1
ENSMUSG00000037275	0.47752	0	1
ENSMUSG00000020514	0.3096	0	1
ENSMUSG00000072915	0.372673333333333	0	3
ENSMUSG00000037001	0.54496	0	1
ENSMUSG00000020496	0.2606	0	1
ENSMUSG00000048076	0.0138	0	1
ENSMUSG00000054519	0.36619	0	2
ENSMUSG00000020472	0.992	6.50201612903228	2
ENSMUSG00000005417	2.168	13.8376383763838	2
ENSMUSG00000061650	0.38785	0	2
ENSMUSG00000062115	0.22964	0	2
ENSMUSG00000000538	1.696	1.11792452830189	2
ENSMUSG00000018415	0.664	10.8433734939759	2
ENSMUSG00000042650	8e-04	0	1
ENSMUSG00000042569	0.744	12.6747311827957	2
ENSMUSG00000010025	0.572487804878049	7.38143319700068	4
ENSMUSG00000001039	0.64	6.47343750000002	2
ENSMUSG00000001036	0.11772	0	1
ENSMUSG00000042377	0.4022	0	1
ENSMUSG00000047804	0.57804	0	1
ENSMUSG00000042298	1.024	19.796875	2
ENSMUSG00000046417	0.39688	0	1
ENSMUSG00000048497	0.456	0	1
ENSMUSG00000042148	2.60667379679144	13.335380047376	3
ENSMUSG00000020549	0.517981308411215	3.62584800808315	3
ENSMUSG00000033389	1.944	15.6584362139918	2
ENSMUSG00000020548	1.944	17.2376543209876	2
ENSMUSG00000033352	2.248	14.4590747330961	2
ENSMUSG00000018347	0.84096	6.33561643835615	3
ENSMUSG00000020903	2.848	20.5730337078652	2
ENSMUSG00000020900	2.184	18.4789377289377	2
ENSMUSG00000023781	0.06591	0	2
ENSMUSG00000001583	0.248	13.1895161290322	2
ENSMUSG00000018554	0.24	12.4791666666667	2
ENSMUSG00000040938	0.458409036289354	7.96386780187057	4
ENSMUSG00000020828	0.528	3.52840909090909	2
ENSMUSG00000020827	1.07543583227446	6.98651177738287	3
ENSMUSG00000014609	0.048	0	1
ENSMUSG00000040712	0.26608	0	1
ENSMUSG00000057054	0.604897338403042	8.52294327667705	3
ENSMUSG00000020821	0.27412	0	1
ENSMUSG00000020817	1.768	13.9010180995475	2
ENSMUSG00000018442	0.416	0	1
ENSMUSG00000020807	0.97316	0	1
ENSMUSG00000020801	1.62095553880934	15.3943374455139	3
ENSMUSG00000020805	0.42098	0	3
ENSMUSG00000045667	0.535999999999999	8.37313432835818	2
ENSMUSG00000020794	2.24	17.0008928571428	2
ENSMUSG00000055670	1.75279356568365	8.68032187607068	3
ENSMUSG00000020783	0.912	10.0877192982456	2
ENSMUSG00000001323	0.31576	0	1
ENSMUSG00000038290	1.776	15.6655405405405	2
ENSMUSG00000078789	0.232	0	1
ENSMUSG00000000751	0.38092	0	1
ENSMUSG00000038178	0.919999999999999	8.3619565217391	2
ENSMUSG00000017781	0.758947368421052	10.4160887656033	3
ENSMUSG00000038046	0.19888	0	1
ENSMUSG00000020844	0.86956	0	1
ENSMUSG00000020843	0.464	7.65301724137929	2
ENSMUSG00000010392	0.968	12.6260330578512	2
ENSMUSG00000020840	0.332307692307692	6.94444444444445	3
ENSMUSG00000044328	0.0506666666666667	0	3
ENSMUSG00000017291	0.33656	0	1
ENSMUSG00000000631	1.712	19.652453271028	2
ENSMUSG00000020832	0.20656	0	1
ENSMUSG00000037750	1.624	12.9673645320197	2
ENSMUSG00000010277	0.0098	0	1
ENSMUSG00000017376	2.352	17.6139455782313	2
ENSMUSG00000072640	0.432	10.6481481481482	2
ENSMUSG00000018334	1.24418	0	2
ENSMUSG00000020716	2.336	13.138698630137	2
ENSMUSG00000017639	0.928337730870712	3.83745168258299	3
ENSMUSG00000020709	0.522666666666667	2.96258503401364	3
ENSMUSG00000017686	1.68	15.9630952380952	2
ENSMUSG00000057181	0.38532	0	1
ENSMUSG00000035413	0.32104	0	1
ENSMUSG00000018841	0.32	3.70937499999997	2
ENSMUSG00000020682	0.16	0	1
ENSMUSG00000000976	0.608	12.327302631579	2
ENSMUSG00000020679	1.22959349593496	5.59635457991713	3
ENSMUSG00000018648	0.99	4.5959595959596	2
ENSMUSG00000018651	1.056	12.6903409090909	2
ENSMUSG00000018697	2.472	20.2584951456311	2
ENSMUSG00000045140	0.34736	0	1
ENSMUSG00000020527	0.704	12.9928977272728	2
ENSMUSG00000020525	0.952	13.9107142857143	2
ENSMUSG00000034297	0.44804	0	1
ENSMUSG00000020521	0.575283095723015	10.7224141837544	3
ENSMUSG00000020516	0.67216	0	1
ENSMUSG00000020513	0.50586301369863	5.82042533217794	3
ENSMUSG00000018427	0.21648	0	1
ENSMUSG00000020492	0.20668	0	1
ENSMUSG00000010342	0.43168	0	3
ENSMUSG00000000276	0.472	0	1
ENSMUSG00000020553	1.216	9.13404605263157	2
ENSMUSG00000003948	1.6	8.375	2
ENSMUSG00000020541	0.795128948573173	5.83220739739909	4
ENSMUSG00000020859	2.08809195402299	9.28727394163583	3
ENSMUSG00000076435	0.766865947611711	3.08214251269854	3
ENSMUSG00000020869	0.0068	0	1
ENSMUSG00000024414	0.0068	0	1
ENSMUSG00000020868	0.328	11.2378048780488	2
ENSMUSG00000038976	0.416	21.2355769230769	2
ENSMUSG00000038967	0.41514	0	3
ENSMUSG00000001507	0.132	0	1
ENSMUSG00000057522	2.088	18.2370689655173	2
ENSMUSG00000000120	0.008	0	1
ENSMUSG00000038845	0.418461538461538	8.64485294117647	3
ENSMUSG00000050860	0.47216	0	1
ENSMUSG00000038811	0.024	0	1
ENSMUSG00000013418	0.5067	0	2
ENSMUSG00000047040	0.276	0	2
ENSMUSG00000018659	0.24725	0	2
ENSMUSG00000018678	0.0868571428571428	7.39144736842105	3
ENSMUSG00000038560	0.012	0	1
ENSMUSG00000020877	0.33189	0	2
