P_R_gene	speed
ENSMUSG00000026466	TRUE	1.39793770916875
ENSMUSG00000050565	TRUE	0.159965897326594
ENSMUSG00000060985	FALSE	0
ENSMUSG00000026600	TRUE	1.09324326855245
ENSMUSG00000026596	TRUE	1.88308356782933
ENSMUSG00000060519	TRUE	0.440162634809501
ENSMUSG00000033557	TRUE	0.871264367816092
ENSMUSG00000026594	TRUE	2.02903492367242
ENSMUSG00000070565	TRUE	4.21467413588227
ENSMUSG00000033488	FALSE	0
ENSMUSG00000040782	TRUE	2.07920840882447
ENSMUSG00000058267	FALSE	0
ENSMUSG00000014226	FALSE	0
ENSMUSG00000026721	TRUE	3.28
ENSMUSG00000040423	TRUE	1.48944255728032
ENSMUSG00000026715	FALSE	0
ENSMUSG00000043467	TRUE	6.95955056179776
ENSMUSG00000026709	TRUE	0.920153766818246
ENSMUSG00000026708	TRUE	0.570448087431694
ENSMUSG00000026705	TRUE	1.05832962975625
ENSMUSG00000044835	TRUE	0.0333333333332177
ENSMUSG00000026701	FALSE	0
ENSMUSG00000040297	TRUE	1.73520053775487
ENSMUSG00000026698	FALSE	0
ENSMUSG00000026694	TRUE	0.591977810966503
ENSMUSG00000026696	TRUE	1.92170814776002
ENSMUSG00000040225	FALSE	0
ENSMUSG00000040124	TRUE	0.857011341527072
ENSMUSG00000026585	TRUE	2.01602498327013
ENSMUSG00000026584	TRUE	0.713513513513514
ENSMUSG00000041406	TRUE	1.08234401668879
ENSMUSG00000040918	TRUE	0.720228417870339
ENSMUSG00000026577	TRUE	0.90400342998017
ENSMUSG00000026575	TRUE	2.6241706577969
ENSMUSG00000026576	TRUE	0.251910661315652
ENSMUSG00000040848	TRUE	0.827027027027027
ENSMUSG00000040843	TRUE	1.11351351351351
ENSMUSG00000040836	TRUE	0.00697674418643614
ENSMUSG00000026571	TRUE	6.25555555555556
ENSMUSG00000026568	FALSE	0
ENSMUSG00000026566	TRUE	0.933023631589578
ENSMUSG00000040713	FALSE	0
ENSMUSG00000026565	TRUE	4.43367664205208
ENSMUSG00000026564	FALSE	0
ENSMUSG00000000544	FALSE	0
ENSMUSG00000026563	TRUE	0.786666666666667
ENSMUSG00000040596	FALSE	0
ENSMUSG00000060568	FALSE	0
ENSMUSG00000026558	FALSE	0
ENSMUSG00000052428	FALSE	0
ENSMUSG00000026687	TRUE	0.617405296681194
ENSMUSG00000026688	TRUE	0.588888888888889
ENSMUSG00000052534	TRUE	7.73516557616811
ENSMUSG00000026683	TRUE	0.85299271614061
ENSMUSG00000026675	TRUE	0.805372392733295
ENSMUSG00000026670	TRUE	1.36027478697404
ENSMUSG00000026667	TRUE	0.951351351351351
ENSMUSG00000102752	FALSE	0
ENSMUSG00000038473	FALSE	0
ENSMUSG00000026663	TRUE	2.14168116833796
ENSMUSG00000026659	FALSE	0
ENSMUSG00000058076	TRUE	0.703573683545902
ENSMUSG00000056569	FALSE	0
ENSMUSG00000005674	TRUE	0.248648648648649
ENSMUSG00000058715	FALSE	0
ENSMUSG00000013593	TRUE	0.472541974260142
ENSMUSG00000006403	TRUE	0.914139855158494
ENSMUSG00000052423	TRUE	0.35745148297327
ENSMUSG00000062729	TRUE	1.1420460064462
ENSMUSG00000053483	TRUE	0.367567567567568
ENSMUSG00000062963	FALSE	0
ENSMUSG00000013973	FALSE	0
ENSMUSG00000013997	FALSE	0
ENSMUSG00000006412	FALSE	0
ENSMUSG00000048865	FALSE	0
ENSMUSG00000026641	FALSE	0
ENSMUSG00000038235	TRUE	1.29189189189189
ENSMUSG00000026556	TRUE	0.617578496669838
ENSMUSG00000003458	TRUE	0.479499874129395
ENSMUSG00000026553	FALSE	0
ENSMUSG00000003464	FALSE	0
ENSMUSG00000026554	FALSE	0
