Chromatin_PolyA	Chromatin_Total	Cytoplasm_PolyA	Cytoplasm_Total	Nucleoplasm_PolyA	Nucleoplasm_Total
ENSMUSG00000001123	1.9451856731668	2.07741498079792	2.69987613746777	0	2.13296073037959	0
ENSMUSG00000001127	6.65597893731863	5.06796605496811	6.09923677620742	5.86064688793697	6.23731049475935	5.95976325541252
ENSMUSG00000001128	6.94772729063477	5.4304392761815	5.63961504156765	5.49820485476889	6.78442630407632	6.34392850798017
ENSMUSG00000001131	6.05341722808117	4.27369559847053	5.95252773872478	5.90610347716084	6.76048931570187	5.99545318134839
ENSMUSG00000001134	3.73973669743374	2.18983131676285	4.82005066795183	0	4.08868493547475	3.7406738980402
ENSMUSG00000001138	5.8486041170098	4.71159310372123	5.48512165176337	5.58132652965915	6.1955521419877	6.42278462304781
ENSMUSG00000001143	4.91374235512947	4.49019412550754	3.18600061429818	3.28592480391994	4.36125606314701	3.4947021459464
ENSMUSG00000001150	7.26034401686796	6.84493998941174	7.84809163557707	7.81780535853946	7.54353877331178	7.51756589683376
ENSMUSG00000001151	6.59823246000835	7.30304942828323	6.04974956051028	6.72338617297454	7.45692162656646	8.04663306532758
ENSMUSG00000001156	4.65845776312742	4.22021347997899	4.29237981314266	3.39264750332261	4.1570462700175	4.35104388479531
ENSMUSG00000001157	4.94712142734882	4.37675203452029	6.02405621573842	5.86442647055359	5.32883651821226	5.17710859097706
ENSMUSG00000001158	4.59120147014588	3.24997559178378	5.80837892378166	5.26077460881613	5.15450491441054	4.85590818466335
ENSMUSG00000001166	3.27618424792752	2.86025978193691	3.88087706682858	4.20249488764399	3.31480751368513	3.04318884175729
ENSMUSG00000001168	2.23660552103021	2.92124800250995	0.531622026792289	0	1.73181011764013	0
ENSMUSG00000001173	5.52945671317206	5.39971919016409	6.5862974263773	6.75743773460014	5.94114758500258	6.26562576677229
ENSMUSG00000001175	6.21388404709704	4.52406534722778	7.79592819455388	7.31070179622052	6.84139632622962	6.41101120322095
ENSMUSG00000001211	5.35198434792873	0.0000319839137461843	5.75564392976413	5.10227102986655	5.4452063671933	4.69308698107792
ENSMUSG00000001227	3.11675746578902	2.44023226991285	2.94441039732778	0	3.19030475125973	3.04318884175729
ENSMUSG00000001228	7.30371274411772	6.4369653838882	8.44627904173783	8.46569014747554	8.01032428172056	7.82351786844568
ENSMUSG00000001229	6.06638067630666	3.57846807838745	6.02994120459225	5.84242179579337	5.47242220739467	5.15785266584055
ENSMUSG00000001247	1.84211417471613	0	2.89585884461673	0	2.72430100983631	3.35757482449145
ENSMUSG00000001248	5.12013899002473	0	5.52207229098622	5.881534103253	5.24909232573673	5.24376800062269
ENSMUSG00000001270	8.40127835086535	6.32115339699203	9.4828049274045	9.1144381719396	8.63910369095018	8.1109979565954
ENSMUSG00000001280	7.16917803614755	6.99430956374509	7.41696657857354	7.76852265539433	7.68747331018926	8.02514607663618
ENSMUSG00000001281	3.39265453787144	3.24088978487211	2.63702048384609	0	3.63237619912875	3.0274621016341
ENSMUSG00000001285	3.86338849392739	3.75341223652119	4.8031969027065	4.83363741064753	3.61677282625389	4.16100884895755
